location,lat,lon
"Magarpatta City North Gate Road, Pune, Maharashtra, India",18.5158057,73.9271644
"Model Colony, Deep Bungalow Chowk, Pune, Maharashtra, India",18.529886,73.835027
"Wagholi, near Lexicon International School, Pune, Maharashtra, India",18.5879393,73.9967764
"Pimple Saudagar, Shivar Garden Road, Pune, Maharashtra, India",18.5949626,73.7860994
"Swargate Bus Stand Exit, Pune, Maharashtra, India",18.5000482,73.85901319999999
"Baner Phata, Pune, Maharashtra, India",18.5499924,73.80994179999999
"Bavdhan Flyover, Mumbai-Bengaluru Highway, Pune, Maharashtra, India",18.5180063,73.7689289
"Near Landewadi Chowk, Bhosari, Pune, Maharashtra, India",18.619761,73.840763
"FC Road, near Goodluck Chowk, Pune, Maharashtra, India",18.5175004,73.8416168
"Pune-Solapur Highway, near Yavat, Pune, Maharashtra, India",18.4756082,74.2723261
"Warje Flyover, Pune, Maharashtra, India",18.4805747,73.8039931
"Race Course Road, Camp, Pune, Maharashtra, India",18.5047597,73.8935204
"Katraj-Dehu Road Bypass, Near Ambegaon, Pune, Maharashtra, India",18.5612419,73.7687743
"Kamshet Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Ravet, near Mukai Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6606495,73.73215850000001
"Paud Road, Bhugaon, Pune, Maharashtra, India",18.5008149,73.7509874
"Kharadi-Mundhwa Road, Pune, Maharashtra, India",18.5311287,73.9140811
"Yerawada, near Golf Course Road, Pune, Maharashtra, India",18.553218,73.8848221
"Karve Road, Kothrud, Pune, Maharashtra, India",18.5027444,73.818564
"Near Balajinagar, Satara Road, Pune, Maharashtra, India",18.4646316,73.8602841
"Hinjewadi Phase 1, Shivaji Chowk, Pune, Maharashtra, India",18.5904779,73.7271909
"Pimpri Grade Separator Road, Pune, Maharashtra, India",18.6263131,73.805498
"Near Raj Bhavan Gate, Pune, Maharashtra, India",18.5175318,73.87164899999999
"Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India",18.5655222,73.91315759999999
"J.M. Road, Pune, Maharashtra, India",18.5212065,73.8467797
"Urse Toll Naka, Pune side, Maharashtra, India",18.7143346,73.62451949999999
"Bakori Phata, Wagholi, Pune, Maharashtra, India",18.5900482,73.9967144
"Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India",18.6002014,73.7066799
"Khandoba Mal, Akurdi, Pune, Maharashtra, India",18.6498669,73.7808704
"Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"M.G. Road near West End, Pune, Maharashtra, India",18.5059014,73.8785409
"Bremen Chowk, Aundh, Pune, Maharashtra, India",18.559178,73.816039
"Manjari Phata, Pune, Maharashtra, India",18.499242,73.95075000000001
"Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India",18.582646,73.7976722
"Wadgaon Sheri, Pune-Ahmednagar Road, Pune, Maharashtra, India",18.5608041,73.9181975
"Kalyani Nagar Lane 7, Pune, Maharashtra, India",18.5526825,73.9185547
"Dehu Road Cantonment Area, Pune, Maharashtra, India",18.6860277,73.74771419999999
"Pirangut Road, Mulshi, Pune, Maharashtra, India",18.5128856,73.6786426
"Bhor Ghat, Pune side, Maharashtra, India",18.7719444,73.3655556
"Famous Chowk, New Sangvi, Pune, Maharashtra, India",18.5797194,73.8120848
"Pashan-Wakad Highway Bridge, Pune, Maharashtra, India",18.5886852,73.7779137
"Near Mahadev Kundeshwar Temple, Khed Tehsil, Pune, Maharashtra, India",18.9101844,73.7151004
"Near MediPoint Hospital, Aundh, Pune, Maharashtra, India",18.5650206,73.80242679999999
"Near Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Near Goodluck Chowk, FC Road, Pune, Maharashtra, India",18.517786,73.84042
"Near RTO, Pune City, Pune, Maharashtra, India",18.5298607,73.8628042
"Tilak Road, Pune, Maharashtra, India",18.5068302,73.8517489
"Near Kiwale, Mumbai-Pune Highway, Pune, Maharashtra, India",18.6531746,73.731972
"Khadi Machine Chowk, Kondhwa, Pune, Maharashtra, India",18.452679,73.889955
"Sus-Pashan Link Road, Pune, Maharashtra, India",18.5454191,73.7777885
"Wagholi-Bakori Road, Pune, Maharashtra, India",18.5936066,74.0129981
"Sinhagad Road near Pu La Deshpande Park, Pune, Maharashtra, India",18.4571619,73.8033639
"Near Wakad Bridge, Mumbai-Bengaluru Highway, Pune, Maharashtra, India",18.5863816,73.7594119
"Near Pune Railway Station South Gate, Pune, Maharashtra, India",18.5065995,73.92844769999999
"Near Akurdi Railway Station, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6485302,73.76466909999999
"Viman Nagar near Symbiosis Law School, Pune, Maharashtra, India",18.5678553,73.9143637
"Pune-Solapur Highway, near Hadapsar, Pune, Maharashtra, India",18.5010857,73.9365251
"Karve Road, near Deccan Gymkhana, Pune, Maharashtra, India",18.5129387,73.8398418
"Swargate underpass, Pune, Maharashtra, India",18.523999,73.94205199999999
"Model Colony, near Deep Bungalow Chowk, Pune, Maharashtra, India",18.5324846,73.8374954
"Katraj-Dehu Road Bypass near Ambegaon, Pune, Maharashtra, India",18.5612419,73.7687743
"Moshi High Street, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6630139,73.8362408
"Camp, near West End Cinema, Pune, Maharashtra, India",18.5204303,73.8567437
"Kothrud, near Vanaz Metro, Pune, Maharashtra, India",18.5073514,73.8076543
"Lonavala Exit, Pune side, Maharashtra, India",18.5246091,73.8786239
